"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"play","long",39715,21434,0,51,0,37000,819,520.64,280.99,0,0,0,0,0,0,0,0,15000,35000,37000,37000
"play","short",91580,49822,0,48,0,37000,11,1200.56,653.14,0,0,0,0,0,0,0,0,16000,31000,37000,37000
"None","Aggregated",131295,71256,0,49,0,37000,255,1721.20,934.12,0,0,0,0,0,0,0,0,16000,33000,37000,37000
